symbol,day,open,high,low,close,volume
AAPL,2024-09-19,224.9900,229.8200,224.6300,228.8700,66781300
AAPL,2024-09-20,229.9700,233.0900,227.6200,228.2000,318679900
AAPL,2024-09-23,227.3400,229.4500,225.8100,226.4700,54146000
AAPL,2024-09-24,228.6500,229.3500,225.7300,227.3700,43556100
AAPL,2024-09-25,224.9300,227.2900,224.0200,226.3700,42308700
AAPL,2024-09-26,227.3000,228.5000,225.4100,227.5200,36636700
AAPL,2024-09-27,228.4600,229.5200,227.3000,227.7900,34026000
AAPL,2024-09-30,230.0400,233.0000,229.6500,233.0000,54541900
AAPL,2024-10-01,229.5200,229.6500,223.7400,226.2100,63285000
AAPL,2024-10-02,225.8900,227.3700,223.0200,226.7800,32880600
AAPL,2024-10-03,225.1400,226.8100,223.3200,225.6700,34044200
AAPL,2024-10-04,227.9000,228.0000,224.1300,226.8000,37245100
AAPL,2024-10-07,224.5000,225.6900,221.3300,221.6900,39505400
AAPL,2024-10-08,224.3000,225.9800,223.2500,225.7700,31855700
AAPL,2024-10-09,225.2300,229.7500,224.8300,229.5400,33591100
AAPL,2024-10-10,227.7800,229.5000,227.1700,229.0400,28183500
AAPL,2024-10-11,229.3000,229.4100,227.3400,227.5500,31759200
AAPL,2024-10-14,228.7000,231.7300,228.6000,231.3000,39882100
AAPL,2024-10-15,233.6100,237.4900,232.3700,233.8500,64751400
AAPL,2024-10-16,231.6000,232.1200,229.8400,231.7800,34082200
AAPL,2024-10-17,233.4300,233.8500,230.5200,232.1500,32993800
AAPL,2024-10-18,236.1800,236.1800,234.0100,235.0000,46431500
AAPL,2024-10-21,234.4500,236.8500,234.4500,236.4800,36254500
AAPL,2024-10-22,233.8900,236.2200,232.6000,235.8600,38846600
AAPL,2024-10-23,234.0800,235.1400,227.7600,230.7600,52287000
AAPL,2024-10-24,229.9800,230.8200,228.4100,230.5700,31109500
AAPL,2024-10-25,229.7400,233.2200,229.5700,231.4100,38802300
